anime_id,mal_id,title,english_title,user_preferred_title,cover_image_large
172453,57719.0,Akuyaku Reijou Tensei Oji-san,From Bureaucrat to Villainess: Dad's Been Reincarnated!,Akuyaku Reijou Tensei Oji-san,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx172453-7iYNTAEZpNsJ.png
176063,58437.0,"Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwamete mita","I’m a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic","Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwamete mita",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176063-dIL2xrjmOLs1.jpg
179297,59265.0,Magic Maker: Isekai Mahou no Tsukurikata,Magic Maker: How to Make Magic in Another World,Magic Maker: Isekai Mahou no Tsukurikata,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179297-qaG8nCqMpR3o.jpg
176158,58473.0,"S-Rank Monster no ""Behemoth"" Dakedo, Neko to Machigawarete Elf Musume no Pet to Shite Kurashitemasu",Beheneko: The Elf-Girl's Cat is Secretly an S-Ranked Monster!,"S-Rank Monster no ""Behemoth"" Dakedo, Neko to Machigawarete Elf Musume no Pet to Shite Kurashitemasu",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176158-nQ6EtQp76q6d.jpg
175198,58216.0,Übel Blatt,Übel Blatt,Übel Blatt,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175198-AtWwEQPTjQ6N.jpg
166699,55842.0,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsura Sugiru,"OKITSURA: Fell in Love with an Okinawan Girl, but I Just Wish I Know What She's Saying",Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsura Sugiru,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx166699-k5hIccoA5XSW.jpg
180052,59514.0,Sentai Red Isekai de Boukensha ni Naru,The Red Ranger Becomes an Adventurer in Another World,Sentai Red Isekai de Boukensha ni Naru,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180052-i29SxOyEBtXB.jpg
185880,59226.0,Ao no Exorcist: Yosuga-hen,Blue Exorcist -The Blue Night Saga-,Ao no Exorcist: Yosuga-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185880-efBIcDBzPiHP.jpg
174654,58082.0,NEET Kunoichi to Naze ka Dousei Hajimemashita,I'm Living With a Otaku NEET Kunoichi?!,NEET Kunoichi to Naze ka Dousei Hajimemashita,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx174654-J8OduNFjRpVY.jpg
179998,59489.0,Kaijuu 8-gou Movie,Kaiju No. 8: Mission Recon,Kaijuu 8-gou Movie,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179998-2QNb7f6oXGUI.jpg
136381,49363.0,SK∞ Extra Part,SK8 the Infinity EXTRA PART,SK∞ Extra Part,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx136381-t6c5rfKjnqqd.jpg
179999,59490.0,Kaijuu 8-gou: Hoshina no Kyuujitsu,Kaiju No.8: Hoshina's Day Off,Kaijuu 8-gou: Hoshina no Kyuujitsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179999-8FuSR5TlOCD1.jpg
178550,59142.0,Unnamed Memory Act.2,Unnamed Memory Season 2,Unnamed Memory Act.2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178550-1mjYHtOwiqkC.jpg
178022,59055.0,"Hana wa Saku, Shura no Gotoku",Flower and Asura,"Hana wa Saku, Shura no Gotoku",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178022-gB3zAfazGBJ6.jpg
